datahora, lat, lon, sst_boia, ch14, media14, ch15, media15, sat_zen
201801031300,-33.017,-20.752,21.100,286.694915771484,287.20697699652788888888,283.567108154297,284.09654744466133333333,2.28235578536987
201801031700,-26.990,-25.162,24.500,288.13134765625,266.76462809244780000000,284.460540771484,263.64733123779266666666,2.1877293586731
201801031700,-33.767,-40.961,20.400,288.310913085938,202.99033610026053333333,285.889984130859,202.16071573893211111111,2.29416275024414
201801031800,-27.004,-25.123,24.500,288.071502685547,288.07149929470488888888,284.400970458984,284.44067721896666666666,2.1877293586731
201801031900,-27.004,-25.123,24.500,288.310913085938,288.31090291341166666666,284.698760986328,284.67891438802066666666,2.1877293586731
201801031900,-33.767,-40.961,20.500,287.592681884766,202.74427964952253333333,285.175262451172,201.88938395182311111111,2.29416275024414
201801040100,-33.710,-41.001,20.300,289.627624511719,289.60101657443577777777,287.200317382812,287.15399509006055555555,2.29325532913208
201801040100,-29.369,-40.463,22.600,291.722381591797,291.74899291992188888888,289.582763671875,289.62908935546877777777,2.22535037994385
201801040200,-33.710,-41.001,20.300,289.567779541016,289.30176459418400000000,287.200317382812,286.93560791015622222222,2.29325532913208
201801040200,-34.280,-36.777,19.300,287.532836914062,287.50623914930544444444,285.473052978516,285.47967868381111111111,2.30232715606689
201801040200,-29.369,-40.463,22.600,292.141357421875,292.12139214409733333333,290.118804931641,290.12543402777811111111,2.22535037994385
201801040300,-33.040,-20.687,21.400,285.019104003906,264.10459730360235555555,281.8994140625,261.42372555202911111111,2.28280997276306
201801040300,-33.135,-35.507,20.800,285.677459716797,159.45889282226557777777,283.090637207031,159.44898986816400000000,2.28417325019836
201801040300,-33.710,-41.001,20.300,289.867004394531,289.82711113823766666666,287.438568115234,287.45842827690933333333,2.29325532913208
201801040300,-29.369,-40.463,22.600,291.722381591797,291.60933770073788888888,289.701873779297,289.62246704101566666666,2.22535037994385
201801040400,-27.016,-25.047,24.200,288.191192626953,287.95179239908855555555,284.817901611328,284.57303534613700000000,2.18818950653076
201801040400,-33.040,-20.687,21.300,285.857025146484,285.87032402886266666666,282.375915527344,282.42222764756977777777,2.28280997276306
201801040400,-34.280,-36.777,19.300,285.677459716797,159.30593872070313333333,284.043609619141,159.56811014811211111111,2.30232715606689
201801040500,-27.010,-25.027,24.200,289.747314453125,289.50791083441844444444,286.426025390625,286.23411729600688888888,2.18818926811218
201801040500,-33.038,-20.690,21.300,285.916870117188,285.93016899956622222222,282.614135742188,282.59428914388066666666,2.28280997276306
201801040500,-33.710,-41.001,20.300,289.926879882812,289.92687310112811111111,287.676818847656,287.65696207682266666666,2.29325532913208
201801040500,-34.280,-36.777,19.300,288.490447998047,288.45719401041666666666,286.187805175781,286.21426730685744444444,2.30232715606689
201801040500,-29.369,-40.463,22.600,290.764770507812,290.47882419162311111111,288.629791259766,288.43125067816855555555,2.22535037994385
201801040600,-33.038,-20.690,21.300,286.575225830078,286.58852471245644444444,283.209747314453,283.23622639973944444444,2.28280997276306
201801040600,-33.130,-35.515,20.700,287.233581542969,180.86550564236122222222,285.234832763672,180.75190819634333333333,2.28417325019836
201801040600,-33.702,-40.984,20.300,289.867004394531,289.88031344943544444444,287.617248535156,287.61063978407088888888,2.29325532913208
201801040600,-34.225,-36.796,19.300,288.430603027344,288.41065131293422222222,286.306915283203,286.26721530490433333333,2.30142045021057
201801040600,-29.322,-40.531,22.600,290.824615478516,291.14383612738722222222,288.808471679688,289.06656901041655555555,2.2244348526001
201801040700,-27.011,-25.035,24.200,289.807159423828,289.80716959635400000000,286.604736328125,286.59148830837677777777,2.18818926811218
201801040700,-33.702,-40.984,20.300,289.926879882812,289.86035834418377777777,287.617248535156,287.61063300238688888888,2.29325532913208
201801040700,-34.225,-36.796,19.300,288.011657714844,288.21780056423633333333,285.949554443359,286.06205919053811111111,2.30142045021057
201801040700,-29.308,-40.545,22.600,291.722381591797,291.52288818359366666666,289.582763671875,289.41731770833344444444,2.2244348526001
201801040800,-33.035,-20.651,21.300,287.233581542969,287.22693888346344444444,283.864929199219,283.87816026475722222222,2.28281021118164
201801040800,-34.224,-36.821,19.300,287.472991943359,202.57138061523431111111,285.413513183594,201.96218193901933333333,2.30142045021057
201801040900,-33.035,-20.651,21.300,287.772247314453,287.75229560004333333333,284.460540771484,284.48700629340244444444,2.28281021118164
201801040900,-33.691,-40.959,20.300,290.046569824219,290.01997205946211111111,287.915069580078,287.88859049479155555555,2.29280138015747
201801040900,-29.322,-40.544,22.600,290.704925537109,269.08551025390613333333,288.391540527344,267.19451141357444444444,2.2244348526001
201801041000,-33.037,-20.649,21.400,287.472991943359,202.45832994249108888888,284.043609619141,201.07538519965300000000,2.28281021118164
201801041000,-33.133,-35.544,20.700,290.046569824219,225.37451171875006666666,287.855499267578,224.28424835205066666666,2.28417325019836
201801041000,-33.690,-40.954,20.300,290.046569824219,290.07981703016511111111,287.974609375,287.98785061306422222222,2.29280138015747
201801041100,-27.077,-25.034,24.300,289.867004394531,182.24872504340266666666,286.723846435547,181.51296234130866666666,2.18910908699036
201801041100,-33.137,-35.560,20.800,289.807159423828,246.95403035481771111111,287.676818847656,245.52099778917088888888,2.28417325019836
201801041100,-33.690,-40.954,20.400,290.226135253906,290.24608357747366666666,288.153289794922,288.12682766384555555555,2.29280138015747
201801041100,-34.243,-36.863,19.400,288.789703369141,288.79635281033022222222,286.604736328125,286.62458292643233333333,2.30142045021057
201801041200,-33.137,-35.560,20.800,290.465515136719,290.43227132161466666666,288.272430419922,288.26581149631088888888,2.28417325019836
201801041200,-33.674,-40.932,20.500,290.285980224609,290.24608018663166666666,288.153289794922,288.09373643663200000000,2.29280138015747
201801041200,-34.243,-36.863,19.500,288.969268798828,289.02911376953100000000,286.842956542969,286.86943223741344444444,2.30142045021057
201801041400,-33.044,-20.663,21.600,286.515380859375,286.43556722005200000000,283.090637207031,282.97813585069444444444,2.28281021118164
201801041400,-29.322,-40.598,23.100,290.405670166016,290.45887586805555555555,287.915069580078,288.00771416558155555555,2.2244348526001
201801041500,-33.148,-35.554,21.100,290.585235595703,290.55198160807277777777,288.451110839844,288.39816962348111111111,2.28462767601013
201801041500,-33.676,-40.933,20.700,290.645080566406,290.61183336045988888888,288.391540527344,288.39154391818600000000,2.29280138015747
201801041500,-29.322,-40.598,23.200,289.986724853516,203.88809543185764444444,287.617248535156,203.04750569661455555555,2.2244348526001
201801041600,-27.166,-24.978,24.600,290.405670166016,290.41232977973077777777,287.021636962891,287.06135389539933333333,2.19048833847046
201801041600,-33.148,-35.554,21.200,290.9443359375,290.91108873155388888888,288.808471679688,288.75552707248311111111,2.28462767601013
201801041600,-33.676,-40.933,20.800,290.645080566406,290.64508056640600000000,288.272430419922,288.35184054904533333333,2.29280138015747
201801041600,-29.326,-40.647,23.500,290.166259765625,290.31922403971344444444,287.617248535156,287.84887695312488888888,2.2244348526001
201801041700,-27.161,-24.973,24.600,290.405670166016,290.41232299804711111111,287.021636962891,287.03487820095522222222,2.19048833847046
201801041700,-33.156,-35.534,21.300,291.123870849609,291.05737643771677777777,288.927581787109,288.93420410156222222222,2.28462767601013
201801041700,-33.654,-40.918,20.800,290.704925537109,290.72487386067677777777,288.272430419922,288.33860609266511111111,2.29234743118286
201801041700,-29.300,-40.597,23.600,291.064025878906,269.31825764973935555555,288.570220947266,267.26730600992866666666,2.22397708892822
201801041800,-27.176,-24.940,24.600,290.166259765625,247.24663628472204444444,286.902526855469,244.95847405327688888888,2.19048833847046
201801041800,-33.156,-35.534,21.400,290.9443359375,290.95098537868922222222,288.808471679688,288.79523383246577777777,2.28462767601013
201801041800,-33.654,-40.918,20.900,290.884490966797,290.86453586154522222222,288.451110839844,288.41139729817733333333,2.29234743118286
201801041800,-34.267,-36.846,20.000,289.867004394531,289.84041341145811111111,287.736389160156,287.68343438042511111111,2.30187368392944
201801041900,-27.181,-24.924,24.500,290.405670166016,290.41231960720511111111,286.962097167969,286.97532484266522222222,2.19048833847046
201801041900,-33.655,-40.912,20.900,290.824615478516,290.82462565104166666666,288.391540527344,288.42463514539955555555,2.29234743118286
201801041900,-34.281,-36.720,20.000,289.926879882812,289.90026516384522222222,287.795928955078,287.78932020399288888888,2.30232715606689
201801042000,-27.187,-24.914,24.500,289.867004394531,289.85371568467866666666,286.366485595703,286.37309773763011111111,2.19094800949097
201801042000,-33.156,-35.534,21.200,290.405670166016,290.40568033854155555555,288.332000732422,288.29889933268244444444,2.28462767601013
201801042000,-33.657,-40.924,20.800,290.704925537109,290.70492553710900000000,288.332000732422,288.35846286349844444444,2.29234743118286
201801042000,-34.281,-36.720,20.000,289.926879882812,289.93352932400133333333,287.676818847656,287.73637898763000000000,2.30232715606689
201801042100,-27.194,-24.891,24.500,290.046569824219,289.84042019314255555555,286.485595703125,286.35986328125011111111,2.19094800949097
201801042100,-33.153,-35.517,21.200,291.004180908203,291.00418090820300000000,288.987152099609,288.95405748155344444444,2.28462767601013
201801042100,-33.658,-40.923,20.700,290.764770507812,290.75147162543355555555,288.451110839844,288.41139729817733333333,2.29234743118286
201801042100,-34.263,-36.712,19.900,289.986724853516,289.98672485351588888888,287.795928955078,287.77607896592866666666,2.30187368392944
201801042200,-27.202,-24.872,24.400,290.166259765625,290.13966539171011111111,286.604736328125,286.59149509006077777777,2.19094800949097
201801042200,-31.356,-30.871,21.800,287.592681884766,266.51857503255213333333,284.93701171875,264.28926849365244444444,2.25641131401062
201801042200,-33.128,-20.573,21.500,284.600158691406,221.73691813151040000000,281.065551757812,219.75762685139977777777,2.28417325019836
201801042200,-33.153,-35.516,21.100,290.884490966797,290.89778984917544444444,288.868041992188,288.85480414496577777777,2.28462767601013
201801042200,-33.663,-40.921,20.700,290.704925537109,290.67832777235211111111,288.391540527344,288.34522501627622222222,2.29234743118286
201801042200,-33.356,-29.525,19.800,288.789703369141,288.82960679796022222222,286.962097167969,287.03487820095488888888,2.28780698776245
201801042200,-34.260,-36.711,19.900,289.807159423828,289.82710774739566666666,287.617248535156,287.59078640407955555555,2.30187368392944
201801042300,-27.203,-24.868,24.400,290.465515136719,290.47882080078144444444,286.962097167969,286.97532823350722222222,2.19094800949097
201801042300,-33.130,-20.568,21.600,280.171203613281,137.22101508246515555555,277.074981689453,137.44457414415144444444,2.28417325019836
201801042300,-33.146,-35.506,21.100,289.807159423828,289.86702134874133333333,287.915069580078,288.00109524197044444444,2.28462767601013
201801042300,-33.671,-40.932,20.600,290.585235595703,290.55863444010411111111,288.153289794922,288.10035536024311111111,2.29280138015747
201801042300,-34.244,-36.700,19.900,289.867004394531,289.86035834418377777777,287.617248535156,287.63710869683133333333,2.30142045021057
201801042300,-29.246,-40.615,23.100,291.303436279297,290.95097859700511111111,289.106262207031,288.70258246527777777777,2.22306156158447
201801050000,-27.212,-24.856,24.300,290.525390625,290.50543212890633333333,287.021636962891,287.02826266818611111111,2.19140791893005
201801050000,-33.142,-35.510,21.100,290.525390625,290.55197821723077777777,288.629791259766,288.60332234700555555555,2.28417325019836
201801050000,-33.677,-40.928,20.600,290.645080566406,290.65837944878444444444,288.212860107422,288.20624457465288888888,2.29280138015747
201801050000,-34.236,-36.705,19.900,289.747314453125,289.78056165907111111111,287.617248535156,287.58416408962644444444,2.30142045021057
201801050000,-29.240,-40.632,23.000,292.320892333984,292.26769680447022222222,290.178375244141,290.17175971137188888888,2.22306156158447
201801050100,-33.132,-35.492,21.000,290.764770507812,290.74482557508644444444,288.748901367188,288.68272908528688888888,2.28417325019836
201801050100,-33.681,-40.931,20.600,290.704925537109,290.69827609591977777777,288.272430419922,288.28566487630222222222,2.29280138015747
201801050100,-33.373,-29.545,19.700,289.328369140625,289.22861056857655555555,287.498138427734,287.51799180772533333333,2.28780698776245
201801050100,-34.236,-36.705,19.900,289.627624511719,289.64092339409744444444,287.259887695312,287.33930460611933333333,2.30142045021057
201801050100,-29.231,-40.648,23.000,291.901947021484,291.76229519314233333333,289.821014404297,289.62908935546877777777,2.22306156158447
201801050200,-27.212,-24.856,24.200,290.106414794922,290.13966878255211111111,286.604736328125,286.61134847005211111111,2.19140791893005
201801050200,-33.132,-35.492,21.000,290.345825195312,290.43892415364577777777,288.272430419922,288.36507839626755555555,2.28417325019836
201801050200,-33.685,-40.934,20.600,290.405670166016,290.46551852756100000000,288.09375,288.08712768554688888888,2.29280138015747
201801050200,-33.373,-29.545,19.700,289.029113769531,289.07565985785600000000,287.319458007812,287.31283569335911111111,2.28780698776245
201801050200,-34.236,-36.705,19.900,289.448059082031,289.51456705729166666666,287.319458007812,287.33268568250822222222,2.30142045021057
201801050300,-27.221,-24.822,24.100,289.926879882812,290.05987548828133333333,286.485595703125,286.60472276475700000000,2.19140791893005
201801050300,-33.132,-35.492,21.000,289.029113769531,288.93600802951388888888,287.259887695312,287.17385864257811111111,2.28417325019836
201801050300,-33.685,-40.934,20.600,290.465515136719,290.43226793077288888888,288.0341796875,288.03417968750000000000,2.29280138015747
201801050300,-33.373,-29.533,19.700,289.029113769531,288.96925862630200000000,287.259887695312,287.21356201171844444444,2.28780698776245
201801050300,-34.236,-36.705,19.800,289.567779541016,289.64757283528666666666,287.438568115234,287.47166273328955555555,2.30142045021057
201801050500,-27.221,-24.822,24.000,290.046569824219,290.01997205946188888888,286.664276123047,286.60472954644100000000,2.19140791893005
201801050500,-33.132,-35.492,20.900,289.807159423828,289.51456366644966666666,287.795928955078,287.52460394965255555555,2.28417325019836
201801050500,-33.685,-40.934,20.600,290.345825195312,290.35247463650155555555,287.855499267578,287.85549926757800000000,2.29280138015747
201801050500,-33.373,-29.533,19.700,289.148803710938,289.20865546332500000000,287.378997802734,287.33930460611933333333,2.28780698776245
201801050500,-34.236,-36.705,19.800,289.148803710938,289.11555650499144444444,287.021636962891,287.01502482096388888888,2.30142045021057
201801050500,-29.231,-40.648,22.800,290.405670166016,290.57192654079855555555,288.510681152344,288.64964463975711111111,2.22306156158447
201801050600,-27.228,-24.814,24.000,289.926879882812,289.96012708875855555555,286.485595703125,286.52530585394966666666,2.19140791893005
201801050600,-33.697,-40.935,20.500,290.285980224609,290.29927910698744444444,287.795928955078,287.82240464952244444444,2.2932550907135
201801050600,-33.370,-29.532,19.600,289.208648681641,289.26852077908000000000,287.498138427734,287.45180596245622222222,2.28780698776245
201801050600,-34.241,-36.756,19.800,289.148803710938,289.14215766059044444444,286.962097167969,287.00179714626766666666,2.30142045021057
201801050700,-33.130,-35.526,21.000,290.585235595703,290.57193671332455555555,288.510681152344,288.53052435980933333333,2.28417325019836
201801050700,-33.697,-40.935,20.500,290.285980224609,290.26602511935733333333,287.795928955078,287.78932020399288888888,2.2932550907135
201801050700,-33.364,-29.527,19.600,288.969268798828,288.92270914713544444444,287.259887695312,287.22680324978288888888,2.28780698776245
201801050700,-34.241,-36.756,19.800,289.148803710938,289.06901380750866666666,287.021636962891,286.94884914822077777777,2.30142045021057
201801050700,-29.206,-40.713,22.700,291.901947021484,291.73568725585944444444,289.821014404297,289.57614813910611111111,2.2226037979126
201801050800,-33.364,-29.527,19.600,289.268524169922,289.24856567382833333333,287.498138427734,287.43194919162288888888,2.28780698776245
201801050900,-33.715,-40.938,20.500,290.166259765625,290.17956882052944444444,287.795928955078,287.80917019314222222222,2.2932550907135
201801051000,-27.242,-24.804,24.200,289.807159423828,289.80715942382800000000,286.545166015625,286.53854709201388888888,2.19186758995056
201801051000,-33.723,-40.944,20.500,290.345825195312,290.32587687174444444444,288.0341796875,288.02094184027777777777,2.2932550907135
201801051000,-29.204,-40.743,22.700,292.081481933594,270.28251478407146666666,289.999694824219,268.57764943440777777777,2.2226037979126
